date	kperiod	irregular	holiday	count	DeliverD1	DeliverD7	DeliverD14	DeliverD21	Bill1	Bill7	Bill14	Bill21	Deliver	AvgService
14-02-04	1	0	0	55	0	0	0	0	0	0	0	0	0	2.121667
14-02-04	2	0	0	63	0	0	0	0	0	0	0	0	0	1.526667
14-02-04	3	0	0	32	0	0	0	0	0	0	0	0	0	1.238333
14-02-04	4	0	0	38	0	0	0	0	0	0	0	0	0	1.111667
14-02-04	5	0	0	19	0	0	0	0	0	0	0	0	0	2.548333
14-02-04	6	0	0	20	0	0	0	0	0	0	0	0	0	1.668333
14-02-04	7	0	0	25	0	0	0	0	0	0	0	0	0	2.653333
14-02-04	8	0	0	17	0	0	0	0	0	0	0	0	0	2.601667
14-02-04	9	0	0	7	0	0	0	0	0	0	0	0	0	2.698333
14-02-04	10	0	0	9	0	0	0	0	0	0	0	0	0	1.49
14-02-04	11	0	0	9	0	0	0	0	0	0	0	0	0	1.981667
14-02-04	12	0	0	7	0	0	0	0	0	0	0	0	0	3.181667
14-02-04	13	0	0	12	0	0	0	0	0	0	0	0	0	3.46
14-02-04	14	0	0	15	0	0	0	0	0	0	0	0	0	2.863333
14-02-04	15	0	0	13	0	0	0	0	0	0	0	0	0	2.826667
14-02-04	16	0	0	17	0	0	0	0	0	0	0	0	0	2.151667
14-02-04	17	0	0	36	0	0	0	0	0	0	0	0	0	2.005
14-02-04	18	0	0	24	0	0	0	0	0	0	0	0	0	2.136667
14-02-04	19	0	0	44	0	0	0	0	0	0	0	0	0	1.89
14-02-04	20	0	0	40	0	0	0	0	0	0	0	0	0	2.406667
14-02-04	21	0	0	55	0	0	0	0	0	0	0	0	0	2.786667
14-02-04	22	0	0	93	0	0	0	0	0	0	0	0	0	2.303333
14-02-04	23	0	0	124	0	0	0	0	0	0	0	0	0	1.895
14-02-04	24	0	0	124	0	0	0	0	0	0	0	0	0	1.971667
14-02-04	25	0	0	143	0	0	0	0	0	0	0	0	0	2.216667
14-02-04	26	0	0	149	0	0	0	0	0	0	0	0	0	2.426667
14-02-04	27	0	0	119	0	0	0	0	0	0	0	0	0	2.988333
14-02-04	28	0	0	132	0	0	0	0	0	0	0	0	0	2.611667
14-02-04	29	0	0	156	0	0	0	0	0	0	0	0	0	2.14
14-02-04	30	0	0	140	0	0	0	0	0	0	0	0	0	2.221667
14-02-04	31	0	0	142	0	0	0	0	0	0	0	0	0	2.356667
14-02-04	32	0	0	153	0	0	0	0	0	0	0	0	0	2.443333
14-02-04	33	0	0	135	0	0	0	0	0	0	0	0	0	2.17
14-02-04	34	0	0	166	0	0	0	0	0	0	0	0	0	2.85
14-02-04	35	0	0	185	0	0	0	0	0	0	0	0	0	2.345
14-02-04	36	0	0	205	0	0	0	0	0	0	0	0	0	2.653333
14-02-04	37	0	0	243	0	0	0	0	0	0	0	0	0	2.581667
14-02-04	38	0	0	275	0	0	0	0	0	0	0	0	0	2.428333
14-02-04	39	0	0	309	0	0	0	0	0	0	0	0	0	2.411667
14-02-04	40	0	0	329	0	0	0	0	0	0	0	0	0	2.436667
14-02-04	41	0	0	316	0	0	0	0	0	0	0	0	0	2.473333
14-02-04	42	0	0	308	0	0	0	0	0	0	0	0	0	2.573333
14-02-04	43	0	0	265	0	0	0	0	0	0	0	0	0	2.65
14-02-04	44	0	0	222	0	0	0	0	0	0	0	0	0	2.83
14-02-04	45	0	0	240	0	0	0	0	0	0	0	0	0	2.711667
14-02-04	46	0	0	182	0	0	0	0	0	0	0	0	0	2.398333
14-02-04	47	0	0	160	0	0	0	0	0	0	0	0	0	2.455
14-02-04	48	0	0	176	0	0	0	0	0	0	0	0	0	1.933333
15-02-04	1	0	0	133	0	0	0	0	0	0	0	1	0	2.453333
15-02-04	2	0	0	81	0	0	0	0	0	0	0	1	0	2.595
15-02-04	3	0	0	45	0	0	0	0	0	0	0	1	0	2.221667
15-02-04	4	0	0	45	0	0	0	0	0	0	0	1	0	1.983333
15-02-04	5	0	0	24	0	0	0	0	0	0	0	1	0	1.715
15-02-04	6	0	0	18	0	0	0	0	0	0	0	1	0	2.293333
15-02-04	7	0	0	40	0	0	0	0	0	0	0	1	0	1.823333
15-02-04	8	0	0	16	0	0	0	0	0	0	0	1	0	1.475
15-02-04	9	0	0	4	0	0	0	0	0	0	0	1	0	3.233333
15-02-04	10	0	0	9	0	0	0	0	0	0	0	1	0	2.116667
15-02-04	11	0	0	11	0	0	0	0	0	0	0	1	0	1.73
15-02-04	12	0	0	7	0	0	0	0	0	0	0	1	0	1.231667
15-02-04	13	0	0	15	0	0	0	0	0	0	0	1	0	3.521667
15-02-04	14	0	0	25	0	0	0	0	0	0	0	1	0	2.216667
15-02-04	15	0	0	47	0	0	0	0	0	0	0	1	0	2.023333
15-02-04	16	0	0	112	0	0	0	0	0	0	0	1	0	2.945
15-02-04	17	0	0	218	0	0	0	0	0	0	0	1	0	2.795
15-02-04	18	0	0	280	0	0	0	0	0	0	0	1	0	2.925
15-02-04	19	0	0	307	0	0	0	0	0	0	0	1	0	3.246667
15-02-04	20	0	0	322	0	0	0	0	0	0	0	1	0	3.096667
15-02-04	21	0	0	386	0	0	0	0	0	0	0	1	0	3.036667
15-02-04	22	0	0	404	0	0	0	0	0	0	0	1	0	2.716667
15-02-04	23	0	0	474	0	0	0	0	0	0	0	1	0	3.018333
15-02-04	24	0	0	488	0	0	0	0	0	0	0	1	0	2.706667
15-02-04	25	0	0	508	0	0	0	0	0	0	0	1	0	3.078333
15-02-04	26	0	0	484	0	0	0	0	0	0	0	1	0	3.105
15-02-04	27	0	0	494	0	0	0	0	0	0	0	1	0	2.933333
15-02-04	28	0	0	513	0	0	0	0	0	0	0	1	0	3.08
15-02-04	29	0	0	514	0	0	0	0	0	0	0	1	0	3.055
15-02-04	30	0	0	494	0	0	0	0	0	0	0	1	0	3.148333
15-02-04	31	0	0	512	0	0	0	0	0	0	0	1	0	3.113333
15-02-04	32	0	0	469	0	0	0	0	0	0	0	1	0	3.046667
15-02-04	33	0	0	461	0	0	0	0	0	0	0	1	0	2.99
15-02-04	34	0	0	474	0	0	0	0	0	0	0	1	0	3.078333
15-02-04	35	0	0	435	0	0	0	0	0	0	0	1	0	2.883333
15-02-04	36	0	0	479	0	0	0	0	0	0	0	1	0	3.108333
15-02-04	37	0	0	439	0	0	0	0	0	0	0	1	0	2.925
15-02-04	38	0	0	504	0	0	0	0	0	0	0	1	0	3.018333
15-02-04	39	0	0	490	0	0	0	0	0	0	0	1	0	3.345
15-02-04	40	0	0	453	0	0	0	0	0	0	0	1	0	2.703333
15-02-04	41	0	0	445	0	0	0	0	0	0	0	1	0	3.138333
15-02-04	42	0	0	420	0	0	0	0	0	0	0	1	0	2.916667
15-02-04	43	0	0	323	0	0	0	0	0	0	0	1	0	3.313333
15-02-04	44	0	0	352	0	0	0	0	0	0	0	1	0	2.65
15-02-04	45	0	0	321	0	0	0	0	0	0	0	1	0	2.611667
15-02-04	46	0	0	245	0	0	0	0	0	0	0	1	0	2.675
15-02-04	47	0	0	160	0	0	0	0	0	0	0	1	0	2.725
15-02-04	48	0	0	152	0	0	0	0	0	0	0	1	0	2.165
16-02-04	1	0	0	135	1	0	0	0	0	0	0	1	1	3.238333
16-02-04	2	0	0	61	1	0	0	0	0	0	0	1	1	2.278333
16-02-04	3	0	0	40	1	0	0	0	0	0	0	1	1	2.273333
16-02-04	4	0	0	38	1	0	0	0	0	0	0	1	1	3.868333
16-02-04	5	0	0	27	1	0	0	0	0	0	0	1	1	2.205
16-02-04	6	0	0	7	1	0	0	0	0	0	0	1	1	1.615
16-02-04	7	0	0	11	1	0	0	0	0	0	0	1	1	3.655
16-02-04	8	0	0	11	1	0	0	0	0	0	0	1	1	2.071667
16-02-04	9	0	0	9	1	0	0	0	0	0	0	1	1	3.13
16-02-04	10	0	0	10	1	0	0	0	0	0	0	1	1	2.071667
16-02-04	11	0	0	4	1	0	0	0	0	0	0	1	1	1.975
16-02-04	12	0	0	3	1	0	0	0	0	0	0	1	1	1.783333
16-02-04	13	0	0	23	1	0	0	0	0	0	0	1	1	1.57
16-02-04	14	0	0	31	1	0	0	0	0	0	0	1	1	1.983333
16-02-04	15	0	0	60	1	0	0	0	0	0	0	1	1	2.418333
16-02-04	16	0	0	109	1	0	0	0	0	0	0	1	1	2.658333
16-02-04	17	0	0	213	1	0	0	0	0	0	0	1	1	3.331667
16-02-04	18	0	0	272	1	0	0	0	0	0	0	1	1	3.211667
16-02-04	19	0	0	296	1	0	0	0	0	0	0	1	1	3.388333
16-02-04	20	0	0	341	1	0	0	0	0	0	0	1	1	3.33
16-02-04	21	0	0	406	1	0	0	0	0	0	0	1	1	3.063333
16-02-04	22	0	0	384	1	0	0	0	0	0	0	1	1	3.508333
16-02-04	23	0	0	386	1	0	0	0	0	0	0	1	1	3.613333
16-02-04	24	0	0	429	1	0	0	0	0	0	0	1	1	3.441667
16-02-04	25	0	0	427	1	0	0	0	0	0	0	1	1	3.41
16-02-04	26	0	0	472	1	0	0	0	0	0	0	1	1	3.265
16-02-04	27	0	0	467	1	0	0	0	0	0	0	1	1	3.913333
16-02-04	28	0	0	488	1	0	0	0	0	0	0	1	1	3.293333
16-02-04	29	0	0	474	1	0	0	0	0	0	0	1	1	3.391667
16-02-04	30	0	0	521	1	0	0	0	0	0	0	1	1	3.508333
16-02-04	31	0	0	483	1	0	0	0	0	0	0	1	1	3.338333
16-02-04	32	0	0	517	1	0	0	0	0	0	0	1	1	3.366667
16-02-04	33	0	0	477	1	0	0	0	0	0	0	1	1	3.555
16-02-04	34	0	0	587	1	0	0	0	0	0	0	1	1	3.315
16-02-04	35	0	0	525	1	0	0	0	0	0	0	1	1	3.066667
16-02-04	36	0	0	585	1	0	0	0	0	0	0	1	1	3.206667
16-02-04	37	0	0	580	1	0	0	0	0	0	0	1	1	3.47
16-02-04	38	0	0	513	1	0	0	0	0	0	0	1	1	3.188333
16-02-04	39	0	0	490	1	0	0	0	0	0	0	1	1	3.391667
16-02-04	40	0	0	490	1	0	0	0	0	0	0	1	1	3.218333
16-02-04	41	0	0	459	1	0	0	0	0	0	0	1	1	3.186667
16-02-04	42	0	0	492	1	0	0	0	0	0	0	1	1	3.035
16-02-04	43	0	0	388	1	0	0	0	0	0	0	1	1	3.158333
16-02-04	44	0	0	406	1	0	0	0	0	0	0	1	1	3.211667
16-02-04	45	0	0	342	1	0	0	0	0	0	0	1	1	3.165
16-02-04	46	0	0	287	1	0	0	0	0	0	0	1	1	2.803333
16-02-04	47	0	0	210	1	0	0	0	0	0	0	1	1	2.773333
16-02-04	48	0	0	174	1	0	0	0	0	0	0	1	1	2.728333
17-02-04	1	0	0	114	1	0	0	0	0	0	0	0	1	2.831667
17-02-04	2	0	0	75	1	0	0	0	0	0	0	0	1	2.413333
17-02-04	3	0	0	49	1	0	0	0	0	0	0	0	1	1.571667
17-02-04	4	0	0	33	1	0	0	0	0	0	0	0	1	1.63
17-02-04	5	0	0	29	1	0	0	0	0	0	0	0	1	1.246667
17-02-04	6	0	0	19	1	0	0	0	0	0	0	0	1	0.996667
17-02-04	7	0	0	13	1	0	0	0	0	0	0	0	1	2.753333
17-02-04	8	0	0	9	1	0	0	0	0	0	0	0	1	3.251667
17-02-04	9	0	0	9	1	0	0	0	0	0	0	0	1	1.001667
17-02-04	10	0	0	8	1	0	0	0	0	0	0	0	1	0.726667
17-02-04	11	0	0	5	1	0	0	0	0	0	0	0	1	1.63
17-02-04	12	0	0	12	1	0	0	0	0	0	0	0	1	2.471667
17-02-04	13	0	0	18	1	0	0	0	0	0	0	0	1	2.101667
